Variant_name,Variant_name
AM.3,['AM.3']
AY.1,['AY.1']
AY.100,['AY.100']
AY.104,['AY.104']
AY.109,['AY.109']
AY.117,['AY.117']
AY.33,['AY.33']
AY.77,"['AY.77', 'AY.77']"
AY.81,['AY.81']
AY.99,['AY.99']
AY.99.1,['AY.99.1']
B,['B']
B.1,['B.1']
B.1.1.111,['B.1.1.111']
B.1.1.12,['B.1.1.12']
B.1.1.123,['B.1.1.123']
B.1.1.134,['B.1.1.134']
B.1.1.136,['B.1.1.136']
B.1.1.168,['B.1.1.168']
B.1.1.178,['B.1.1.178']
B.1.1.180,['B.1.1.180']
B.1.1.189,['B.1.1.189']
B.1.1.192,['B.1.1.192']
B.1.1.197,['B.1.1.197']
B.1.1.207,"['B.1.1.207', 'B.1.1.207']"
B.1.1.221,['B.1.1.221']
B.1.1.253,['B.1.1.253']
B.1.1.254,['B.1.1.254']
B.1.1.269,['B.1.1.269']
B.1.1.33,['B.1.1.33']
B.1.1.359,"['B.1.1.359', 'B.1.1.359', 'B.1.1.359']"
B.1.1.363,['B.1.1.363']
B.1.1.373,['B.1.1.373']
B.1.1.375,['B.1.1.375']
B.1.1.398,['B.1.1.398']
B.1.1.4,['B.1.1.4']
B.1.1.40,['B.1.1.40']
B.1.1.408,['B.1.1.408']
B.1.1.463,['B.1.1.463']
B.1.1.529,"['B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529', 'B.1.1.529']"
B.1.1.61,['B.1.1.61']
B.1.1.71,['B.1.1.71']
B.1.1.8,['B.1.1.8']
B.1.1.86,"['B.1.1.86', 'B.1.1.86']"
B.1.1.95,['B.1.1.95']
B.1.1.98,['B.1.1.98']
B.1.106,['B.1.106']
B.1.110,['B.1.110']
B.1.128,"['B.1.128', 'B.1.128']"
B.1.178,['B.1.178']
B.1.187,"['B.1.187', 'B.1.187']"
B.1.188,['B.1.188']
B.1.195,"['B.1.195', 'B.1.195']"
B.1.198,"['B.1.198', 'B.1.198']"
B.1.201,"['B.1.201', 'B.1.201']"
B.1.205,['B.1.205']
B.1.220,['B.1.220']
B.1.23,"['B.1.23', 'B.1.23', 'B.1.23']"
B.1.234,['B.1.234']
B.1.250,['B.1.250']
B.1.334,['B.1.334']
B.1.35,"['B.1.35', 'B.1.35']"
B.1.379,['B.1.379']
B.1.384,"['B.1.384', 'B.1.384']"
B.1.391,['B.1.391']
B.1.40,"['B.1.40', 'B.1.40']"
B.1.439,"['B.1.439', 'B.1.439']"
B.1.443,['B.1.443']
B.1.530,"['B.1.530', 'B.1.530']"
B.1.543,['B.1.543']
B.1.575,['B.1.575']
B.1.617.2,['B.1.617.2']
B.1.70,['B.1.70']
B.1.76,['B.1.76']
B.1.8,['B.1.8']
B.1.97,"['B.1.97', 'B.1.97']"
B.11,['B.11']
B.12,['B.12']
B.15,['B.15']
B.23,['B.23']
B.30,['B.30']
B.32,"['B.32', 'B.32']"
B.42,"['B.42', 'B.42']"
B.47,['B.47']
B.58,"['B.58', 'B.58']"
B.60,['B.60']
BA.1,"['BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1', 'BA.1']"
BA.1.1,"['BA.1.1', 'BA.1.1']"
